Fiscal Year,Fund Class,Fund,Cost Center,Description,Type,Object Code,Description,Budget-Mayor's Recommended,Budget-Council Approved
2014,AIRPORT FUND                  ,AIRPORT 94A PROJECT FUND      ,5476000,AIRPORT 94A PROJECT FUND      ,RV,1361,PASSENGER FACILITY CHRG REV.  ,70257000,70257000
2014,AIRPORT FUND                  ,AIRPORT 94A PROJECT FUND      ,5476000,AIRPORT 94A PROJECT FUND      ,RV,1831,Interest/ Airport P.F.C.      ,120000,120000
2014,AIRPORT FUND                  ,Customer Facility Charges     ,5477000,Customer Facility Charges     ,RV,136101,Rental Car Facility Chrg Rev. ,55802000,55802000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,575580,575580
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,211102,EXECUTIVE LONGEVITY PAY       ,5100,5100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,215101,CLERICAL ANNUAL BASE PAY      ,86604,86604
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,215102,CLERICAL LONGEVITY PAY        ,1800,1800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2161,HOURLY PAY-SEASONAL EMPLOYEES ,12972,12972
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,219110,EMPLOYEE BENEFITS-FICA        ,50031,50031
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,219113,EMPL BENEFITS-STATE RETIREMENT,20004,20004
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,219114,DEFERRED BENEFIT 401K         ,204,204
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,99558,99558
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,219118,Emp.Benefits 501C9 OPEB       ,6288,6288
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2195,EMPLOYEE INSURANCE            ,67152,67152
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,219501,HSA - City Contribution       ,5250,5250
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2211,Books                         ,2300,2300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2213,PERIODICALS                   ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2221,STATIONERY SUPPLIES           ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,222310,COPY CENTER CHARGES           ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2227,AIRPORT/OPERATIONS SUPPLIES   ,4800,4800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2295,SAFETY EQUIPMENT              ,13200,13200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2297,TRAIN & EDUC EQUIP & MATERIAL ,2500,2500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2298,SMALL TOOLS & EQUIPMENT       ,3400,3400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2299,OTHER MATERIAL & SUPPLIES     ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,229996,Office Furniture Non Capital  ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2329,OTHER PROFESSIONAL & TECH SERV,99800,99800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,233606,Telephone - Cell Phones       ,7800,7800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2341,OFFICE EQUIPMENT MC'S         ,3000,3000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2520,MEALS & ENTERTAINMENT         ,3500,3500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2522,MEMBERSHIPS                   ,3200,3200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2524,MILEAGE                       ,400,400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2525,OUT OF TOWN TRAVEL            ,77800,77800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5401000,OPERATIONS DIVISION           ,XP,2529,OTHER EMPLOYEE COSTS          ,3400,3400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,828996,828996
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,211102,EXECUTIVE LONGEVITY PAY       ,10650,10650
